"Station", "Line"
"Addison Road",  "Blue"
"Anacostia", "Green"
"Archives-Navy Memorial", "Green"
"Archives-Navy Memorial", "Yellow"
"Arlington Cemetery",  "Blue"
"Ballston", "Orange"
"Benning Road",  "Blue"
"Bethesda", "Red"
"Braddock Road", "Blue"
"Braddock Road", "Yellow"
"Branch Avenue", "Green"
"Brookland", "Red"
"Capitol Heights",  "Blue"
"Capitol South",  "Blue"
"Capitol South",  "Orange"
"Cheverly", "Orange"
"Clarendon", "Orange"
"Cleveland Park", "Red"
"College Park", "Green"
"Columbia Heights", "Green"
"Columbia Heights", "Yellow"
"Congress Heights", "Green"
"Court House", "Orange"
"Crystal City", "Blue"
"Crystal City", "Yellow"
"Deanwood", "Orange"
"Dunn Loring", "Orange"
"Dupont Circle", "Red"
"East Falls Church", "Orange"
"Eastern Market",  "Blue"
"Eastern Market",  "Orange"
"Eisenhower Ave.", "Yellow"
"Farragut North", "Red"
"Farragut West",  "Blue"
"Farragut West",  "Orange"
"Federal Center SW",  "Blue"
"Federal Center SW",  "Orange"
"Federal Triangle",  "Blue"
"Federal Triangle",  "Orange"
"Foggy Bottom-GWU",  "Blue"
"Foggy Bottom-GWU",  "Orange"
"Forest Glen", "Red"
"Fort Totten", "Red"
"Fort Totten", "Green"
"Fort Totten", "Yellow"
"Franconia-Springfield", "Blue"
"Friendship Heights", "Red"
"Gallery Place-Chinatown", "Red"
"Gallery Place-Chinatown", "Green"
"Gallery Place-Chinatown", "Yellow"
"Georgia Avenue", "Green"
"Georgia Avenue", "Yellow"
"Glenmont", "Red"
"Greenbelt", "Green"
"Grosvenor", "Red"
"Huntington", "Yellow"
"Judiciary Square", "Red"
"King Street", "Blue"
"King Street", "Yellow"
"Landover", "Orange"
"Largo Town Center",  "Blue"
"L'Enfant Plaza",  "Blue"
"L'Enfant Plaza",  "Orange"
"L'Enfant Plaza",  "Green"
"L'Enfant Plaza",  "Yellow"
"McPherson Square",  "Blue"
"McPherson Square",  "Orange"
"Medical Center", "Red"
"Metro Center",  "Blue"
"Metro Center",  "Orange"
"Metro Center",  "Red"
"Minnesota Ave.", "Orange"
"Morgan Boulevard",  "Blue"
"Mt Vernon Sq-UDC", "Green"
"Mt Vernon Sq-UDC", "Yellow"
"National Airport", "Blue"
"National Airport", "Yellow"
"Navy Yard", "Green"
"Naylor Road", "Green"
"New Carrollton", "Orange"
"New York Avenue", "Red"
"Pentagon", "Blue"
"Pentagon", "Yellow"
"Pentagon City", "Blue"
"Pentagon City", "Yellow"
"Potomac Ave.", "Blue"
"Potomac Ave.",  "Orange"
"Prince George's Plaza", "Green"
"Rhode Island Ave.", "Red"
"Rockville", "Red"
"Rosslyn", "Blue"
"Rosslyn", "Orange"
"Shady Grove", "Red"
"Shaw-Howard Univ", "Green"
"Shaw-Howard Univ", "Yellow"
"Silver Spring", "Red"
"Smithsonian",  "Blue"
"Smithsonian",  "Orange"
"Southern Avenue", "Green"
"Stadium-Armory",  "Blue"
"Stadium-Armory",  "Orange"
"Suitland", "Green"
"Takoma", "Red"
"Tenleytown", "Red"
"Twinbrook", "Red"
"U Street-Cardozo", "Green"
"U Street-Cardozo", "Yellow"
"Union Station", "Red"
"Van Dorn Street", "Blue"
"Van Ness-UDC", "Red"
"Vienna", "Orange"
"Virginia Square-GMU", "Orange"
"Waterfront", "Green"
"West Falls Church", "Orange"
"West Hyattsville", "Green"
"Wheaton", "Red"
"White Flint", "Red"
"Woodley Park-Zoo", "Red"
